#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
907500,-136807.880762,315.506893371,365
910000,-136006.552748,315.43622563,365
912500,-135523.262425,315.700319349,365
915000,-135774.312287,313.941252408,365
917500,-136334.925552,312.121814523,365
920000,-136026.423891,313.911987413,365
922500,-136647.522921,315.380547382,365
925000,-135945.456547,312.520635028,365
927500,-136256.416484,316.322860017,365
930000,-135963.277922,315.073410931,365
932500,-135630.632643,310.076637784,365
935000,-136619.874599,314.909800557,365
937500,-136983.047089,312.184882806,365
940000,-135700.533581,313.865723352,365
942500,-136462.047891,314.776710777,365
945000,-136110.179525,314.399979464,365
947500,-136534.048814,316.468879259,365
950000,-136191.48055,309.644877888,365
952500,-136776.188346,311.456434035,365
955000,-135689.844895,314.764965055,365
957500,-136258.620784,313.740388432,365
960000,-136409.234409,313.317569804,365
962500,-135674.678314,315.674617687,365
965000,-135979.319295,311.801422176,365
967500,-135565.283022,308.596346546,365
970000,-135724.716646,314.882356097,365
972500,-135511.594209,313.281473026,365
975000,-135799.298065,315.241302707,365
977500,-136163.173511,318.771602136,365
980000,-136228.146629,317.549979697,365
982500,-136194.189829,316.102711325,365
985000,-135484.123427,315.713678054,365
987500,-135614.787703,315.146718713,365
990000,-135739.873796,309.820407452,365
992500,-136289.546088,314.313190341,365
995000,-135888.042249,313.87464154,365
997500,-135902.122546,314.351851591,365
1000000,-136037.352175,317.451656566,365
1002500,-134922.864135,315.768883242,365
1005000,-135690.572873,319.226718987,365
1007500,-135804.622161,311.37752746,365
1010000,-135630.711817,314.786294024,365
1012500,-136221.828773,317.162174845,365
1015000,-135689.706205,315.873689568,365
1017500,-135868.268237,317.286024247,365
1020000,-135110.358073,315.749678645,365
1022500,-136497.948127,316.769902661,365
1025000,-136344.600959,312.680813031,365
1027500,-135899.74228,314.888219981,365
1030000,-135762.453046,316.397189444,365
1032500,-135709.164852,312.137651186,365
1035000,-136045.663197,313.022349309,365
1037500,-136725.072512,310.30168662,365
1040000,-136064.821648,315.145328913,365
1042500,-135672.110706,311.17397141,365
1045000,-135627.755979,315.107558454,365
1047500,-136672.318834,314.851594397,365
1050000,-135693.773992,314.272441568,365
1052500,-135686.502864,312.700954407,365
1055000,-136454.464745,313.546173424,365
1057500,-135784.357637,315.812363763,365
1060000,-135910.904712,316.706445658,365
1062500,-135717.955788,315.562840331,365
1065000,-135755.747914,312.117026942,365
1067500,-136352.468395,316.016639739,365
1070000,-135681.827896,311.612112527,365
1072500,-135904.080986,311.541051787,365
1075000,-135723.386722,315.425082014,365
1077500,-135897.509899,319.084374469,365
1080000,-136245.979188,312.207578792,365
1082500,-135703.169879,320.582928716,365
1085000,-136389.449466,316.927358426,365
1087500,-136319.821345,314.066136933,365
1090000,-135858.129173,318.247145437,365
1092500,-136134.179788,318.028292444,364
1095000,-135834.411814,310.08181152,365
1097500,-136146.980916,315.880291236,364
1100000,-135826.383983,314.857084465,365
1102500,-136052.57404,312.690886935,365
1105000,-136527.141156,316.267719834,365
1107500,-135342.054594,316.464472056,365
